start...
Epoch: 164 / 50000, Score: -500,  block: 24,  Reward: -229.2356 Cleared lines: 0, col: 0/0/0/0 
Epoch: 165 / 50000, Score: -500,  block: 25,  Reward: -152.7720 Cleared lines: 0, col: 0/0/0/0 
Epoch: 166 / 50000, Score: -500,  block: 18,  Reward: -118.2447 Cleared lines: 0, col: 0/0/0/0 
Epoch: 167 / 50000, Score: -500,  block: 23,  Reward: -133.7201 Cleared lines: 0, col: 0/0/0/0 
Epoch: 168 / 50000, Score: -500,  block: 24,  Reward: -150.3079 Cleared lines: 0, col: 0/0/0/0 
Epoch: 169 / 50000, Score: -500,  block: 24,  Reward: -175.8579 Cleared lines: 0, col: 0/0/0/0 
Epoch: 170 / 50000, Score: -500,  block: 26,  Reward: -157.5165 Cleared lines: 0, col: 0/0/0/0 
Epoch: 171 / 50000, Score: -500,  block: 20,  Reward: -131.3384 Cleared lines: 0, col: 0/0/0/0 
Epoch: 172 / 50000, Score: -500,  block: 22,  Reward: -167.9410 Cleared lines: 0, col: 0/0/0/0 
Epoch: 173 / 50000, Score: -500,  block: 24,  Reward: -140.3767 Cleared lines: 0, col: 0/0/0/0 
Epoch: 174 / 50000, Score: -500,  block: 18,  Reward: -139.9240 Cleared lines: 0, col: 0/0/0/0 
Epoch: 175 / 50000, Score: -500,  block: 22,  Reward: -146.0463 Cleared lines: 0, col: 0/0/0/0 
Epoch: 176 / 50000, Score: -500,  block: 22,  Reward: -139.1719 Cleared lines: 0, col: 0/0/0/0 
Epoch: 177 / 50000, Score: -500,  block: 23,  Reward: -132.5602 Cleared lines: 0, col: 0/0/0/0 
Epoch: 178 / 50000, Score: -500,  block: 24,  Reward: -112.7048 Cleared lines: 0, col: 0/0/0/0 
Epoch: 179 / 50000, Score: -500,  block: 19,  Reward: -131.2565 Cleared lines: 0, col: 0/0/0/0 
Epoch: 180 / 50000, Score: -500,  block: 21,  Reward: -104.9301 Cleared lines: 0, col: 0/0/0/0 
Epoch: 181 / 50000, Score: -500,  block: 26,  Reward: -171.1925 Cleared lines: 0, col: 0/0/0/0 
Epoch: 182 / 50000, Score: -500,  block: 16,  Reward: -87.9516 Cleared lines: 0, col: 0/0/0/0 
Epoch: 183 / 50000, Score: -500,  block: 18,  Reward: -108.8963 Cleared lines: 0, col: 0/0/0/0 
Epoch: 184 / 50000, Score: -500,  block: 27,  Reward: -125.1195 Cleared lines: 0, col: 0/0/0/0 
Epoch: 185 / 50000, Score: -500,  block: 27,  Reward: -231.2706 Cleared lines: 0, col: 0/0/0/0 
Epoch: 186 / 50000, Score: -500,  block: 16,  Reward: -76.3837 Cleared lines: 0, col: 0/0/0/0 
Epoch: 187 / 50000, Score: -500,  block: 26,  Reward: -223.2746 Cleared lines: 0, col: 0/0/0/0 
Epoch: 188 / 50000, Score: -500,  block: 27,  Reward: -198.6819 Cleared lines: 0, col: 0/0/0/0 
Epoch: 189 / 50000, Score: -500,  block: 31,  Reward: -169.9783 Cleared lines: 0, col: 0/0/0/0 
Epoch: 190 / 50000, Score: -500,  block: 28,  Reward: -251.3620 Cleared lines: 0, col: 0/0/0/0 
Epoch: 191 / 50000, Score: -500,  block: 23,  Reward: -177.8174 Cleared lines: 0, col: 0/0/0/0 
Epoch: 192 / 50000, Score: -500,  block: 21,  Reward: -107.1238 Cleared lines: 0, col: 0/0/0/0 
Epoch: 193 / 50000, Score: -500,  block: 19,  Reward: -136.5371 Cleared lines: 0, col: 0/0/0/0 
Epoch: 194 / 50000, Score: -500,  block: 23,  Reward: -117.3473 Cleared lines: 0, col: 0/0/0/0 
Epoch: 195 / 50000, Score: -500,  block: 21,  Reward: -102.6828 Cleared lines: 0, col: 0/0/0/0 
Epoch: 196 / 50000, Score: -500,  block: 32,  Reward: -220.6140 Cleared lines: 0, col: 0/0/0/0 
Epoch: 197 / 50000, Score: -500,  block: 27,  Reward: -191.2386 Cleared lines: 0, col: 0/0/0/0 
Epoch: 198 / 50000, Score: -500,  block: 20,  Reward: -128.6205 Cleared lines: 0, col: 0/0/0/0 
Epoch: 199 / 50000, Score: -500,  block: 16,  Reward: -124.2606 Cleared lines: 0, col: 0/0/0/0 
Epoch: 200 / 50000, Score: -500,  block: 14,  Reward: -57.6748 Cleared lines: 0, col: 0/0/0/0 
Epoch: 201 / 50000, Score: -500,  block: 33,  Reward: -231.0235 Cleared lines: 0, col: 0/0/0/0 
Epoch: 202 / 50000, Score: -500,  block: 31,  Reward: -198.1625 Cleared lines: 0, col: 0/0/0/0 
Epoch: 203 / 50000, Score: -500,  block: 24,  Reward: -143.3332 Cleared lines: 0, col: 0/0/0/0 
Epoch: 204 / 50000, Score: -500,  block: 20,  Reward: -125.5264 Cleared lines: 0, col: 0/0/0/0 
Epoch: 205 / 50000, Score: -500,  block: 23,  Reward: -210.3847 Cleared lines: 0, col: 0/0/0/0 
Epoch: 206 / 50000, Score: -500,  block: 29,  Reward: -219.6427 Cleared lines: 0, col: 0/0/0/0 
Epoch: 207 / 50000, Score: -500,  block: 22,  Reward: -106.6116 Cleared lines: 0, col: 0/0/0/0 
Epoch: 208 / 50000, Score: -500,  block: 16,  Reward: -61.4868 Cleared lines: 0, col: 0/0/0/0 
Epoch: 209 / 50000, Score: -500,  block: 23,  Reward: -156.5370 Cleared lines: 0, col: 0/0/0/0 
Epoch: 210 / 50000, Score: -500,  block: 27,  Reward: -232.4045 Cleared lines: 0, col: 0/0/0/0 
Epoch: 211 / 50000, Score: -500,  block: 23,  Reward: -104.5595 Cleared lines: 0, col: 0/0/0/0 
Epoch: 212 / 50000, Score: -500,  block: 21,  Reward: -149.4802 Cleared lines: 0, col: 0/0/0/0 
Epoch: 213 / 50000, Score: -500,  block: 19,  Reward: -76.9852 Cleared lines: 0, col: 0/0/0/0 
Epoch: 214 / 50000, Score: -500,  block: 28,  Reward: -189.1116 Cleared lines: 0, col: 0/0/0/0 
Epoch: 215 / 50000, Score: -500,  block: 25,  Reward: -145.3153 Cleared lines: 0, col: 0/0/0/0 
Epoch: 216 / 50000, Score: -400,  block: 25,  Reward: -126.4182 Cleared lines: 1, col: 1/0/0/0 
Epoch: 217 / 50000, Score: -500,  block: 28,  Reward: -204.8401 Cleared lines: 0, col: 0/0/0/0 
Epoch: 218 / 50000, Score: -500,  block: 25,  Reward: -161.2460 Cleared lines: 0, col: 0/0/0/0 
Epoch: 219 / 50000, Score: -500,  block: 23,  Reward: -96.9546 Cleared lines: 0, col: 0/0/0/0 
Epoch: 220 / 50000, Score: -500,  block: 16,  Reward: -79.5089 Cleared lines: 0, col: 0/0/0/0 
Epoch: 221 / 50000, Score: -500,  block: 23,  Reward: -110.1566 Cleared lines: 0, col: 0/0/0/0 
Epoch: 222 / 50000, Score: -500,  block: 21,  Reward: -164.7253 Cleared lines: 0, col: 0/0/0/0 
Epoch: 223 / 50000, Score: -500,  block: 22,  Reward: -146.8079 Cleared lines: 0, col: 0/0/0/0 
Epoch: 224 / 50000, Score: -500,  block: 27,  Reward: -219.6688 Cleared lines: 0, col: 0/0/0/0 
Epoch: 225 / 50000, Score: -500,  block: 29,  Reward: -166.9979 Cleared lines: 0, col: 0/0/0/0 
Epoch: 226 / 50000, Score: -500,  block: 21,  Reward: -129.5143 Cleared lines: 0, col: 0/0/0/0 
Epoch: 227 / 50000, Score: -500,  block: 25,  Reward: -144.6456 Cleared lines: 0, col: 0/0/0/0 
Epoch: 228 / 50000, Score: -500,  block: 25,  Reward: -119.7828 Cleared lines: 0, col: 0/0/0/0 
Epoch: 229 / 50000, Score: -500,  block: 25,  Reward: -175.7034 Cleared lines: 0, col: 0/0/0/0 
Epoch: 230 / 50000, Score: -500,  block: 27,  Reward: -138.9680 Cleared lines: 0, col: 0/0/0/0 
Epoch: 231 / 50000, Score: -500,  block: 22,  Reward: -144.7817 Cleared lines: 0, col: 0/0/0/0 
Epoch: 232 / 50000, Score: -500,  block: 28,  Reward: -175.3406 Cleared lines: 0, col: 0/0/0/0 
Epoch: 233 / 50000, Score: -500,  block: 21,  Reward: -122.0784 Cleared lines: 0, col: 0/0/0/0 
Epoch: 234 / 50000, Score: -500,  block: 28,  Reward: -245.2921 Cleared lines: 0, col: 0/0/0/0 
Epoch: 235 / 50000, Score: -500,  block: 25,  Reward: -152.4775 Cleared lines: 0, col: 0/0/0/0 
Epoch: 236 / 50000, Score: -400,  block: 23,  Reward: -190.2088 Cleared lines: 1, col: 1/0/0/0 
Epoch: 237 / 50000, Score: -500,  block: 22,  Reward: -226.5484 Cleared lines: 0, col: 0/0/0/0 
Epoch: 238 / 50000, Score: -500,  block: 25,  Reward: -122.2992 Cleared lines: 0, col: 0/0/0/0 
Epoch: 239 / 50000, Score: -500,  block: 24,  Reward: -178.2991 Cleared lines: 0, col: 0/0/0/0 
Epoch: 240 / 50000, Score: -500,  block: 24,  Reward: -131.6832 Cleared lines: 0, col: 0/0/0/0 
Epoch: 241 / 50000, Score: -500,  block: 22,  Reward: -159.2757 Cleared lines: 0, col: 0/0/0/0 
